strain	virus	date	accesion	host	country	region	db	segment	url	
SuCp23-15_sudan_2015	CABYV	2015-XX-XX	MK461119.1	Chickpea	Sudan	Sudan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MK461119.1	
TOKAT-CABYV_turkey_2015	CABYV	2015-XX-XX	MT219987.1	Melon	Turkey	Tokat	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219987.1	
211/15_montenegro_2015	CABYV	2015-XX-XX	KX398665.1	Zucchini	Montenegro	Montenegro	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KX398665.1	
200/15_montenegro_2015	CABYV	2015-XX-XX	KX398664.1	Zucchini	Montenegro	Montenegro	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KX398664.1	
179/15_montenegro_2015	CABYV	2015-XX-XX	KX398663.1	Zucchini	Montenegro	Montenegro	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KX398663.1	
153/15_montenegro_2015	CABYV	2015-XX-XX	KX398662.1	Zucchini	Montenegro	Montenegro	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KX398662.1	
CASD1_china_2015	CABYV	2015-XX-XX	KY196410.1	Pumpkin	China	Shandong	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY196410.1	
CALY_china_2015	CABYV	2015-XX-XX	KY196409.1	Zucchini	China	Shandong	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY196409.1	
18.1Zu_A_Mos_2015	CABYV	2015-XX-XX	OM948838	Zucchini	Spain	Alicante	genbank	cp		
2.1Zu_M_Mos_2015	CABYV	2015-XX-XX	OM948844	Zucchini	Spain	Murcia	genbank	cp		
23.1Me_M_Yel_2015	CABYV	2015-XX-XX	OM948846	Melon 	Spain	Murcia	genbank	cp		
19.1Me_M_Mos_2015	CABYV	2015-XX-XX	OM948839	Melon 	Spain	Murcia	genbank	cp		
AAHAM-CABY_pakistan_2016	CABYV	2016-XX-XX	MH141556.1	Melon	Pakistan	Pakistan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH141556.1	
KC1_sauth_korea_2016	CABYV	2016-XX-XX	LC413785.1	Melon	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC413785.1	
CABYV-Nganjuk_indonesia_2016	CABYV	2016-XX-XX	LC384060.1	Melon	Indonesia	Nganjuk	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC384060.1	
BG1_india_2016	CABYV	2016-XX-XX	MF281974.1	Momordica charantia	India	Bengaluru	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MF281974.1	
teasel-gourd_india_2016	CABYV	2016-XX-XX	KY711340.1	Momordica subangulata	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY711340.1	
EM160394_france_2016	CABYV	2016-XX-XX	MN990943.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN990943.1	
EM160730_france_2016	CABYV	2016-XX-XX	MN990942.1	Zucchini	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN990942.1	
EM160202_france_2016	CABYV	2016-XX-XX	MN990938.1	Zucchini	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN990938.1	
EM160201_france_2016	CABYV	2016-XX-XX	MN990937.1	Zucchini	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN990937.1	
EM160196_france_2016	CABYV	2016-XX-XX	MN990936.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN990936.1	
CABYV_10_turkey_2016	CABYV	2016-XX-XX	MK129536.1	Zucchini	Turkey	Turkey	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MK129536.1	
CABYV-SK3_south_korea_2016	CABYV	2016-XX-XX	KY305638.1	Oriental melon	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY305638.1	
CABYV-SK2_south_korea_2016	CABYV	2016-XX-XX	KY305637.1	Melon	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY305637.1	
CABYV-SK1_south_korea_2016	CABYV	2016-XX-XX	KY305636.1	Melon	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY305636.1	
CR01_india_2016	CABYV	2016-XX-XX	MN275831.1	Cucumber	India		genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275831.1	
WM-YS10_South_Korea_2016 	CABYV	2016-XX-XX	MG257903.1	Watermelon 	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG257903.1	
M-CY31_South_Korea_2016	CABYV	2016-XX-XX	MG257902.1	Melon	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG257902.1	
M-BY1_South_Korea_2016	CABYV	2016-XX-XX	MG257901.1	Melon	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG257901.1	
C-HS1_South_Korea_2016	CABYV	2016-XX-XX	MG257900.1	Cucumber	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG257900.1	
C-AS1_South_Korea_2016	CABYV	2016-XX-XX	MG257899.1	Cucumber	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG257899.1	
10PN_Papua_NGuinea_2016	CABYV	2016-XX-XX	MG780352.1	Cucumber	Papaua New Guinea	Papaua New Guinea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG780352.1 	
EM160093_France_2016	CABYV	2016-XX-XX	MT027103.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT027103.1	
SGR01_india_2016	CABYV	2016-XX-XX	MN275836.1	Luffa 	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275836.1	
8.1Me_M_Mos_2016	CABYV	2016-XX-XX	OM948853.1	Melon 	Spain	Murcia	genbank	cp		
18.1Me_A_Yel_2016	CABYV	2016-XX-XX	OM948837.1	Melon 	Spain	Alicante	genbank	cp		
D350/17_slovenia_2017	CABYV	2017-XX-XX	MN145457.1	Pumpkin	Slovenia	Slovenia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN145457.1	
D332/17_slovenia_2017	CABYV	2017-XX-XX	MN145451.1	Zucchini	Slovenia	Slovenia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN145451.1	
PY-46_usa_2017	CABYV	2017-XX-XX	MG590261.1	Pumpkin	USA	Oklahoma	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG590261.1	
BL-45_usa_2017	CABYV	2017-XX-XX	MG590260.1	Pumpkin	USA	Oklahoma	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG590260.1	
BL-4_usa_2017	CABYV	2017-XX-XX	MG590259.1	Pumpkin	USA	Oklahoma	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG590259.1	
BL-8_usa_2017	CABYV	2017-XX-XX	MG590258.1	Pumpkin	USA	Oklahoma	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG590258.1	
KC2_sauth_korea_2017	CABYV	2017-XX-XX	LC413786.1	Melon	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC413786.1	
AARCu-CABY_pakistan_2017	CABYV	2017-XX-XX	MH141557.1	Cucumber	Pakistan	Pakistan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH141557.1	
GRB-Bjt4_morocco_2017	CABYV	2017-XX-XX	MH414924.1	Zucchini	Morocco	Morocco	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH414924.1	
GRB-Bjt3_morocco_2017	CABYV	2017-XX-XX	MH414923.1	Zucchini	Morocco	Morocco	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH414923.1	
GRB-Bjt2_morocco_2017	CABYV	2017-XX-XX	MH414922.1	Zucchini	Morocco	Morocco	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH414922.1	
IDN-Tlg_indonesia_2017	CABYV	2017-XX-XX	LC467387.1	Cucumber	Indonesia	Nganjuk	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC467387.1	
IDN-KP_indonesia_2017	CABYV	2017-XX-XX	LC467386.1	Cucumber	Indonesia	Kulon Progo	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC467386.1	
IDN-Brs_indonesia_2017	CABYV	2017-XX-XX	LC467385.1	Cucumber	Indonesia	Brebes	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC467385.1	
IDN-Ngj_indonesia_2017	CABYV	2017-XX-XX	LC467384.1	Cucumber	Indonesia	Nganjuk	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC467384.1	
EM170195_france_2017	CABYV	2017-XX-XX	MN990941.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN990941.1	
EM170257_france_2017	CABYV	2017-XX-XX	MN990940.1	Zucchini	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN990940.1	
EM170427_france_2017	CABYV	2017-XX-XX	MN990939.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN990939.1	
V11-025_france_2017	CABYV	2017-XX-XX	KY586131.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586131.1	
V11-027_france_2017	CABYV	2017-XX-XX	KY586130.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586130.1	
V11-032_france_2017	CABYV	2017-XX-XX	KY586129.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586129.1	
P15-140_france_2017	CABYV	2017-XX-XX	KY586128.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586128.1	
V12-031_france_2017	CABYV	2017-XX-XX	KY586127.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586127.1	
V11-075_france_2017	CABYV	2017-XX-XX	KY586126.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586126.1	
V13-042_france_2017	CABYV	2017-XX-XX	KY586125.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586125.1	
V13-044_france_2017	CABYV	2017-XX-XX	KY586124.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586124.1	
V11-038_france_2017	CABYV	2017-XX-XX	KY586123.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586123.1	
V11-089_france_2017	CABYV	2017-XX-XX	KY586122.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586122.1	
V11-079_france_2017	CABYV	2017-XX-XX	KY586121.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586121.1	
V11-048_france_2017	CABYV	2017-XX-XX	KY586120.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586120.1	
V11-044_france_2017	CABYV	2017-XX-XX	KY586119.1	Melon	France	France	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KY586119.1	
B1_sri_lanka_2017	CABYV	2017-XX-XX	MH802612.1	Spiny gourd	Sri Lanka	Sri Lanka	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH802612.1	
PI01_india_2017	CABYV	2017-XX-XX	MN275834.1	Zucchini	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275834.1	
MI01_india_2017	CABYV	2017-XX-XX	MN275833.1	Melon	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275833.1	
CABYV_IDN_KulonProgo_indonesia_2017	CABYV	2017-XX-XX	LC311780.1	Cucumber	Indonesia	Kulon Progo	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC311780.1	
CABYV_IDN_Brebes_indonesia_2017	CABYV	2017-XX-XX	LC311779.1	Cucumber	Indonesia	Brebes	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC311779.1	
CABYV_IDN_Tulungagung_indonesia_2017	CABYV	2017-XX-XX	LC311778.1	Cucumber	Indonesia 	Tulungagung	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC311778.1	
CABYV_IDN_Nganjuk_indonesia_2017	CABYV	2017-XX-XX	LC311777.1	Cucumber	Indonesia 	Nganjuk	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC311777.1	
CABYV_Indonesia_2017	CABYV	2017-XX-XX	LC472499.1	Cucumber	Indonesia	East Java	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC472499.1	
BL-4_USA_2017	CABYV	2017-XX-XX	MK055337.1	Pumpkin	USA	Oklahoma	genbank	cp	https://pubmed.ncbi.nlm.nih.gov/30746518/	
3.2Me_M_Yel_2017	CABYV	2017-XX-XX	OM948847.1	Melon 	Spain	Murcia	genbank	cp		
CABYV-QY_China_2017	CABYV	2017-XX-XX	MT943520.1	Cucumber	China	Henan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT943520.1	
20180707-6-3_china_2018	CABYV	2018-XX-XX	MN654407.1	Chieh-qua	China	China	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN654407.1	
20180707-4-12_china_2018	CABYV	2018-XX-XX	MN654406.1	Chieh-qua	China	China	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN654406.1	
20180623-6-5_china_2018	CABYV	2018-XX-XX	MN654405.1	Pumpkin	China	China	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN654405.1	
20180623-5-3_china_2018	CABYV	2018-XX-XX	MN654404.1	Chieh-qua	China	China	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN654404.1	
D727/18_slovenia_2018	CABYV	2018-XX-XX	MN145456.1	Zucchini	Slovenia	Slovenia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN145456.1	
D712/18_slovenia_2018	CABYV	2018-XX-XX	MN145455.1	Zucchini	Slovenia	Slovenia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN145455.1	
D682/18_slovenia_2018	CABYV	2018-XX-XX	MN145454.1	Zucchini	Slovenia	Slovenia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN145454.1	
D583/18_slovenia_2018	CABYV	2018-XX-XX	MN145453.1	Zucchini	Slovenia	Slovenia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN145453.1	
B1_poland_2018	CABYV	2018-XX-XX	MK059479.1	Zucchini	Poland	Poland	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MK059479.1	
LC433845_indonesia_2018	CABYV	2018-XX-XX	LC433845.1	Momordica charantia	Indonesia	Indonesia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC433845.1	
CaBYV-SA-Malvaparviflora_saudiariabia_2018	CABYV	2018-XX-XX	MH192391.1	Malva parviflora	Saudi Arabia	Saudi Arabia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH192391.1	
CaBYV-SA-Sonchusoleraceu_saudiariabia_2018	CABYV	2018-XX-XX	MH192390.1	Sonchus oleraceus	Saudi Arabia	Saudi Arabia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH192390.1	
CaBYV-SA-Solanumnigrum_saudiariabia_2018	CABYV	2018-XX-XX	MH192389.1	Solanum nigrum	Saudi Arabia	Saudi Arabia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH192389.1	
CaBYV-SA-Chenopodiummurale_saudiariabia_2018	CABYV	2018-XX-XX	MH192388.1	Chenopodiastrum murale	Saudi Arabia	Saudi Arabia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH192388.1	
CaBYV-SA-Squash-2_saudiarabia_2018	CABYV	2018-XX-XX	MH192387.1	Zucchini	Saudi Arabia	Saudi Arabia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH192387.1	
CaBYV-SA-Squash-1_saudiarabia_2018	CABYV	2018-XX-XX	MH192386.1	Zucchini	Saudi Arabia	Saudi Arabia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH192386.1	
CaBYV-SA-Cucumber_saudiarabia_2018	CABYV	2018-XX-XX	MH192385.1	Cucumber	Saudi Arabia	Saudi Arabia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH192385.1	
ESS-ESK5/4_turkey_2018	CABYV	2018-XX-XX	MW367895.1	Zucchini	Turkey	Turkey	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW367895.1	
CABYV-2018/2_poland_2018	CABYV	2018-XX-XX	MT384366.1	Zucchini	Poland	Poland	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT384366.1	
CABYV-2018/1_poland_2018	CABYV	2018-XX-XX	MT384365.1	Zucchini	Poland	Poland	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT384365.1	
VP2_india_2018	CABYV	2018-XX-XX	MK182531.1	Momordica charantia	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MK182531.1	
VP1_india_2018	CABYV	2018-XX-XX	MK182530.1	Momordica charantia	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MK182530.1	
PP2_india_2018	CABYV	2018-XX-XX	MK182529.1	Momordica charantia	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MK182529.1	
PP1_india_2018	CABYV	2018-XX-XX	MK182528.1	Momordica charantia	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MK182528.1	
Sam-2_iran_0218	CABYV	2018-XX-XX	MH660531.1	Melon	Iran	Sistan and Baluchestan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH660531.1	
Sam-4_iran_2018	CABYV	2018-XX-XX	MH660530.1	Melon	Iran	Sistan and Baluchestan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MH660530.1	
SI01_india_2018	CABYV	2018-XX-XX	MN275839.1	Zucchini	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275839.1	
WGI01_india_2018	CABYV	2018-XX-XX	MN275838.1	Benincasa hispida	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275838.1	
WMD01_india_2018	CABYV	2018-XX-XX	MN275837.1	Watermelon 	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275837.1	
RGI01_india_2018	CABYV	2018-XX-XX	MN275835.1	Luffa 	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275835.1	
CI01_india_2018	CABYV	2018-XX-XX	MN275832.1	Coccinia grandis	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN275832.1	
POL-SQ_India_2018	CABYV	2018-XX-XX	MN688219.1	Zucchini	India	Varanasi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN688219.1	
67.1Zu_M_Mos_2018	CABYV	2018-XX-XX	OM948850	Zucchini	Spain	Murcia	genbank	cp		
64.2Me_CLM_Mos_2018	CABYV	2018-XX-XX	OM948857	Melon 	Spain	C. La Mancha	genbank	cp		
RKJ-26_india_2019	CABYV	2019-XX-XX	MT018564.1	Momordica charantia	India	Tamil Nadu	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT018564.1	
RKJ-25_india_2019	CABYV	2019-XX-XX	MN862007.1	Momordica charantia	India	New Delhi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN862007.1	
RKJ-23_india_2019	CABYV	2019-XX-XX	MN843967.1	Cucumber	India	New Delhi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN843967.1	
RKJ-21_india_2019	CABYV	2019-XX-XX	MN843966.1	Momordica charantia	India	Coimbatore	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN843966.1	
CABYV-2019/1_poland_2019	CABYV	2019-XX-XX	MT384364.1	Cucumis sativus	Poland	Poland	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT384364.1	
44-7/10/19_germany_2019	CABYV	2019-XX-XX	MN746322.1	Cucumber	Germany	Germany	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN746322.1	
ESS-YZG3/2_turkey_2019	CABYV	2019-XX-XX	MW367896.1	Zucchini	Turkey	Turkey	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW367896.1	
ESS-NGD6/1_turkey_2019	CABYV	2019-XX-XX	MW367894.1	Zucchini	Turkey	Turkey	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW367894.1	
ESS-NVS13/1_turkey_2019	CABYV	2019-XX-XX	MW367893.1	Zucchini	Turkey	Turkey	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW367893.1	
POL-WM_India_2019	CABYV	2019-XX-XX	MN688220.1	Watermelon 	India	Varanasi	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MN688220.1	
19.1Zu_A_Yel_2019	CABYV	2019-XX-XX	OM948841.1	Zucchini	Spain	Alicante	genbank	cp		
22.1Zu_M_Yel_2019	CABYV	2019-XX-XX	OM948845.1	Zucchini	Spain	Murcia	genbank	cp		
19.1Me_M_Mos_2019	CABYV	2019-XX-XX	OM948840.1	Melon 	Spain	Murcia	genbank	cp		
9.1Me_M_Mos_2019	CABYV	2019-XX-XX	OM948855.1	Melon 	Spain	Murcia	genbank	cp		
LP63_spain_2019	CABYV	2019-XX-XX	MW051363.1	Watermelon 	Spain	Murcia	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW051363.1 	
BGK_south_korea_2020	CABYV	2020-XX-XX	LC704882.1	Momordica charantia	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/LC704882.1	
GJ_South_Korea_2020	CABYV	2020-XX-XX	MW509732.1	Melon 	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MW509732.1	
59.1Me_A_Yel_2020	CABYV	2020-XX-XX	OM948849.1	Melon 	Spain	Alicante	genbank	cp		
10.1Zu_M_Yel_2020	CABYV	2020-XX-XX	OM948835.1	Zucchini	Spain	Murcia	genbank	cp		
53.1Me_M_Yel_2020	CABYV	2020-XX-XX	OM948848.1	Melon 	Spain	Murcia	genbank	cp		
MMD_india_2021	CABYV	2021-XX-XX	OM517172.1	Melon	India	India	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/OM517172.1	
AS-cucumber_south_korea_2021	CABYV	2021-XX-XX	MZ366313.1	Cucumber	South Korea	South Korea	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MZ366313.1	
